Date,Close_A,Open_A,High_A,Low_A,Volumes_A,Change_A,Price_S,Change_S,Price_T,Change_T
12/24/2000,0.27,0.27,0.27,0.25,1480000000,0.0397,1320.28,0.0110,476.60,-0.0491
12/31/2000,0.29,0.27,0.33,0.26,2420000000,-0.0024,1298.35,-0.0166,488.20,0.0243
01/07/2001,0.31,0.3,0.33,0.28,2770000000,-0.0146,1318.55,0.0156,525.20,0.0757
01/14/2001,0.35,0.31,0.35,0.29,3150000000,-0.0197,1342.54,0.0182,576.20,0.0972
01/21/2001,0.35,0.34,0.37,0.33,3090000000,-0.0538,1354.95,0.0092,565.00,-0.0196
01/28/2001,0.37,0.35,0.4,0.35,3080000000,-0.0382,1349.47,-0.0040,539.40,-0.0453
02/04/2001,0.34,0.37,0.38,0.33,2380000000,-0.0020,1314.76,-0.0257,484.50,-0.1017
02/11/2001,0.34,0.34,0.37,0.33,1400000000,-0.0210,1301.53,-0.0101,473.30,-0.0231
02/18/2001,0.34,0.34,0.36,0.32,1430000000,0.0106,1245.86,-0.0428,434.10,-0.0829
02/25/2001,0.34,0.34,0.36,0.31,1800000000,0.0818,1234.18,-0.0094,403.10,-0.0713
03/04/2001,0.36,0.35,0.39,0.34,1980000000,-0.1115,1233.42,-0.0006,391.60,-0.0286
03/11/2001,0.35,0.35,0.38,0.32,2310000000,0.0575,1150.53,-0.0672,364.20,-0.0698
03/18/2001,0.41,0.35,0.42,0.35,2900000000,0.0642,1139.83,-0.0093,389.00,0.0681
03/25/2001,0.39,0.41,0.42,0.38,2880000000,-0.0122,1160.33,0.0180,353.10,-0.0923
04/01/2001,0.37,0.39,0.4,0.33,2170000000,0.0137,1128.43,-0.0275,330.40,-0.0644
04/08/2001,0.4,0.37,0.41,0.36,1360000000,-0.0813,1183.50,0.0488,381.20,0.1539
04/15/2001,0.45,0.39,0.46,0.35,4650000000,-0.0018,1242.98,0.0503,437.80,0.1484
04/22/2001,0.47,0.43,0.47,0.42,2510000000,-0.0424,1253.05,0.0081,406.80,-0.0708
04/29/2001,0.46,0.48,0.48,0.43,1870000000,0.0100,1266.61,0.0108,426.70,0.0489
05/06/2001,0.41,0.46,0.46,0.41,1410000000,-0.0477,1245.67,-0.0165,406.70,-0.0468
05/13/2001,0.42,0.41,0.44,0.41,1360000000,-0.0461,1291.96,0.0372,420.50,0.0340
05/20/2001,0.41,0.42,0.43,0.4,1590000000,-0.0034,1277.89,-0.0109,427.30,0.0161
05/27/2001,0.37,0.4,0.4,0.34,2190000000,0.0408,1260.67,-0.0135,399.20,-0.0658
06/03/2001,0.38,0.38,0.39,0.36,1640000000,0.0175,1264.96,0.0034,416.80,0.0440
06/10/2001,0.36,0.38,0.39,0.35,1860000000,0.0546,1214.36,-0.0400,372.70,-0.1056
